Pacific Institute;x;;;;;;;x;;;;;x;x;;;California;;;;;;;;;;;x;;http://www.iwsd.co.zw/;CA;;;;;
Palestine Agricultural Relief Committee (PARC);x;;;;;;;x;;x;;;;x;x;;Palestine;;;;x;;;;;;;;Palestine;http://www.pal-arc.org/;PS;;;;;
Pangani Basin Water Board (PBWB);;x;;;;;;;;;;;;x;;;Moshi, Tanzania;x;;;;;;;;;;;Tanzania;http://www.panganibasin.com/;TZ;;;;;
People for Rainwater;x;;;;;;;x;;;;x;;x;;;Japan;;;;;;;;;;x;;Japan;http://www.skywater.jp/profile2_e.html;JP;;;;;
Permanent Interstate Committee for Drought Control in the Sahel (CILSS), ;x;;;;;;;x;;x;;x;;x;x;;Burkino Faso;x;;;;;;;;;;;region of the Sahel;http://www.cilss.bf/;BF;;;;;
Potters for peace;x;;;;;;;;;x;;;;x;;;Arizona;;;;;;x;;;;;;Nicaragua;http://www.pottersforpeace.com/;US;;;;;
Practica foundation;x;;x;;;;;x;;;;;;x;;;Netherlands;;;;;;;;;;;x;Madagascar, Ethiopia;http://www.practica.org/;NL;;;;;
Practical Action;x;;;;;;;;;;;;;x;x;;UK;x;x;;;;;x;;;;x;more than 40 developing countries;http://practicalaction.org/;GB;;;;;
Programme Solidarité Eau (pS-Eau);x;;;;;;;;;x;;;;x;;;Paris;x;x;;x;;;;;x;;;Benin, Burkina Faso, Haiti, Madagascar, Mali, Morocco, Niger, Senegal;http://www.pseau.org/fr/;FR;;;;;
Pure Water for the World;x;;;;;;;x;;x;;;;x;;;US;;;;;;;x;;;;;;http://purewaterfortheworld.org/;US;;;;;
RainSafe;;;;;;x;;;;;;;;x;;;Ireland;;;;;;;;;;;;global distribution;http://www.rainsafewater.com/;IE;;;;;
RainWater Cambodia;x;;;;;;;x;;x;;;;x;;;Cambodia;;x;;;;;;;;;;Cambodia;http://www.rainwatercambodia.org/;KH;;;;;
Raincatcher Imperial;;;;;;;x;;;;;;;x;;;UK;x;;;;;;;;;;;Tabora, Tanzania;https://www.union.ic.ac.uk/cag/raincatcher/?p=home.html;GB;;;;;
Rainwater Harvesting Implementation Network (RAIN);x;;;;;;;;;;;;;x;;;The Netherlands;x;x;;;;;;;;;;Nepal, Burkina Faso, Mali, Senegal, and Ethiopia;http://www.rainfoundation.org/?L=0;NL;;;;;
Rainwater HOG;;;;;;x;;;;;;;;x;;;US & Australia;;x;x;;x;x;x;x;;;;;;US;;;;;
Ramsar Convention on Wetlands;;x;;;;;;;;;;;;x;;;Switzerland;;;;;;;;;;;x;18 countries;http://www.ramsar.org/cda/en/ramsar-european-rs-homeindex/main/ramsar/1%5E26097_4000_0__;CH;;;;;
Repura;;;;;;x;;;;;;;;x;;;Portugal;;;;;;;;;;;;Africa, Europe, Middle East;http://www.repura.com/en/rainwater.html;PT;;;;;
Research-inspired Policy and Practice Learning in Ethiopia and the Nile region (RiPPLE);x;;;;;;;x;;;;;x;x;;;Ethiopia;x;;;;;;;;;;;;http://www.rippleethiopia.org/;ET;;;;;
Rural Africa Water Development Project ;x;;;;;;;x;;x;;;;x;x;;Nigeria;x;;;;;;;;;;;Nigeria, Benin, Burkina Faso, Gambia, Cameroon;http://www.susana.org/partners?selectbyname=R&selectbyregion=6&p_id=92;NG;;;;;
Rural Industries Innovation Centre (RIIC) ;x;;;;;;;;;;;;;x;x;;Kanye, Botswana;x;;;;;;;;;;;African ;http://www.mbendi.com/orgs/cbkf.htm;BW;;;;;
Rural water supply network (RWSN);x;;;;;;;x;;;;x;;x;;;;x;;;;;;;;;;;;http://www.rural-water-supply.net/en/;;;;;;
"Rwanda Agriculture Board (RAB) - Directorate of Infrastructure andMechanization";;x;;;;;;;;;;;;x;x;;Rwanda;x;;;;;;;;;;;Rwanda;http://www.rab.gov.rw/spip.php?article10;RW;;;;;
Rwanda environmental conservation organization;x;;;;;;;x;;x;;;;x;x;;Rwanda;x;;;;;;;;;;;Rwanda;http://www.rwandaenvironment.org/;RW;;;;;
RWANDA WORKS (RW);;x;;;;;;;;;;;;x;;;Rwanda;x;;;;;;;;;;;Rwanda;http://www.rwandaworks.com/;RW;;;;;
Rwandans4Water;x;;;;;;;;;;;;;x;;;USA;x;;;;;;;;;;;Rwanda;http://www.rwandans4water.org/;US;;;;;
Ryan's Well Foundation;x;;;;;;;;;x;;;;x;;;Ontiao Canada;x;x;;x;;x;x;;x;;;developing countries ;http://www.ryanswell.ca/;CA;;;;;
Sahelian Solutions (SASOL);x;;;;;;;;;;;;;x;x;x;Kenya;x;;;;;;;;;;;;http://www.sasolfoundation.co.ke/;KE;;;;;
Society for Community Organisation and People's Education (SCOPE);x;;;;;;;;;;;;x;x;x;;India;;;;;;;;;;;x;;http://www.scopetrichy.com/;IN;;;;;
Southern and Eastern Africa Rainwater Network (SEARNET);x;;;;;;;x;;;;x;;x;;;Kenya;x;;;;;;;;;;;"Botswana, Ethiopia, Kenya, Malawi, Rwanda, Somalia, Tanzania, Uganda, Zambia, Zimbabwe";http://worldagroforestry.org/projects/searnet/;KE;;;;;
Solar Water Disinfection (SODIS);x;;;;;;;;;x;;;;x;;;Switzerland ;x;x;;;;;x;;x;x;;;http://www.sodis.ch/index_EN;CH;;;;;
SKG Sangha;x;;;;;;;;;x;;;;x;x;;India;x;x;x;;;x;x;;;;;35 countries;http://skgsangha.org/Rainwater.php;IN;;;;;
SNV ;x;;;;;;;;;;;;;;;;The Netherlands;x;x;;;;x;x;;;;;36 countries, and in Uganda;http://www.snvworld.org/en;NL;;;;;
Somalia Water and Land Information Management (SWALIM);x;;;;;;;;;;;;;x;x;;Kenya;x;;;;;;;;;;;Somalia;http://www.faoswalim.org/;KE;;;;;
South African Water Research Commission;;x;;;;;x;x;x;;;;x;x;x;;South Africa;x;;;;;;;;;;;;http://www.wrc.org.za/Pages/default.aspx;ZA;;;;;
Southern Africa Development Community;;x;;;;;;x;;;;x;;x;x;;Gaborone, Botswana;x;;;;;;;;;;;Madagascar, Soweto, SA, Botswana …;http://www.sadc.int/english/;BW;;;;;
Spate Irrigation Network;x;;;;;;;x;;;;x;;x;x;;Netherlands;;;;;;;;;;;x;Yemen, Pakistan Ethiopia Sudan;http://www.spate-irrigation.org/spate-irrigation-network;NL;;;;;
Stockholm International Water Institute ;;;;;;;x;x;;;;;x;x;;;Sweden;;;;;;;;;;;x;;http://www.siwi.org/;SE;;;;;
Stopcocks Women Plumbers;;;;x;;;x;;;x;;;;x;;;UK;x;;x;;;;;;;;;UK and Kenya;http://www.stopcocks.co.uk/;GB;;;;;
Sustainable Sanitation Alliance ;x;;;;;;;x;;;;x;;x;;;Germany;;;;;;;;;;;x;;http://www.susana.org/;DE;;;;;
Tata Ma Tarps and Linings;;;;;;x;;;;;;;;x;;;South Africa;x;;;;;;;;;;;South Africa;http://www.tatamatarps.co.za/;ZA;;;;;
Top Tank;;;;;;x;;;;;;;;x;;;Kenya;x;;;;;;;;;;;;http://www.toptank.com/;KE;;;;;
Towards Sustainable Water Resources Management in Central Asia (SWAN);x;;;;;;x;x;;;;;;x;;;España;;x;x;x;;;;;;;;Central Asia;http://www.swan-water.eu/;ES;;;;;
Uganda Rainwater Association (URWA);x;;;;;;;;;;;;;x;;;Uganda;x;;;;;;;;;;;;http://www.ugandarainwater.org/;UG;;;;;
Ugandan Water Project, The;x;;;;;;;;;x;;;;x;;;US;x;;;;;;;;;;;Uganda;http://ugandanwaterproject.com/;US;;;;;
UK Rain Water Harvesting Association;x;;;;;;;;;;;x;;x;;;UK;;;x;;;;;;;;;;http://www.ukrha.org/;GB;;;;;
United Nations Children's Fund (UNICEF);;x;;;;;;x;;;;;;;;;New York, USA;;;;;;;;;;;x;190 countries;http://www.unicef.org/;US;;;;;
UNICEF Somalia;;x;;;;;;;;;;;;x;;;Kenya;x;;;;;;;;;;;Somalia;http://www.unicef.org/somalia/index.html;KE;;;;;
United Nations Environmental Programme (UNEP);;x;;;;;;x;;;;;x;;;;Nairobi, Kenya;;;;;;;;;;;x;;http://www.unep.org/;KE;;;;;
United Nations Human Settlements Programme (UN-Habitat);;x;;;;;;;;;;;;x;;;Nairobi, Kenya;x;;;;;;;;;;x;;http://www.unhabitat.org/categories.asp?catid=270;KE;;;;;
United Nations Organization for Education, Science and Culture (UNESCO) International Hydrological Programme (IHP);;x;;;;;;x;;;;;x;x;;;Netherlands,UK, Poland, Egypt;;;;;;;;;;;x;;http://www.unesco.org/new/en/natural-sciences/environment/water/ihp/;NL;;;;;
USAID;;x;;;;;;;x;;;;;;;;US;x;x;x;x;x;x;x;;;;;11,000 project locations globally;http://www.usaid.gov/;US;;;;;
WASH Advocates ;x;;;;;;;;;;;x;;x;;;Washington;x;x;;;;x;x;;x;;;;http://www.washadvocates.org;US;;;;;
WASH United;x;;;;;;;;;;;x;;x;;;Germany;x;x;;;;;;;;;;India, Africa;http://www.wash-united.org/;DE;;;;;
WASTE;x;;;;;;;;;;;x;;;;;Netherlands;x;x;x;;;x;x;;;;;;http://www.waste.nl/;NL;;;;;
Water 1st International;x;;;;;;;x;;;;x;;x;;;US;x;x;;;;;;;x;;;Honduras, Bangladesh, Ethiopia, India;http://water1st.org/;US;;;;;
Water Aid;x;;;;;;;;;;;;;x;;;UK;x;x;x;;x;x;;x;;;x;27 countries;http://www.wateraid.org/uk;GB;;;;;
Water and Climate Coalition;x;;;;;;;x;;;;x;;x;;;UK or Sweden;;;;;;;;;;;x;;http://www.waterclimatecoalition.org;GB;;;;;
Water and Nature Initiative (WANI);x;;;;;;;x;;;;x;;x;;;Switzerland;;;;;;;;;;;x;;http://www.waterandnature.org/;CH;;;;;
Water and Sanitation for Africa (WSA);x;;;;;;;x;;;;x;;x;;;Burkina Faso;x;;;;;;;;;;;West, central and northern Africa;http://www.wsafrica.org/en;BF;;;;;
Water and Sanitation Program ;x;;;;;;;x;;;;x;;x;;;;;;;;;;;;;;x;;http://www.wsp.org/wsp/regions/africa;;;;;;
Water and Sanitation Services South Africa (Pty) Ltd (WSSA);;;;x;;;;;;x;;;;x;;;South Africa;x;;;;;;;;;;;South Africa;http://www.wssa.co.za/index.php?option=com_content&view=article&id=61&Itemid=72;ZA;;;;;
Water Channel, The;x;;;;;;;;;;;x;;x;;;Netherlands;;;;;;;;;;;x;;http://www.thewaterchannel.tv/;NL;;;;;
Water for All International;x;;;;;;;;;;;x;;x;;;US;;;;;;;;;;;x;Bolivia, Ethiopia and Uganda;http://www.waterforallinternational.org/Pages/default.aspx;US;;;;;
Water for People;x;;;;;;;;;;;x;;x;;;US;;;;;;;;;;;x;;http://www.waterforpeople.org/about/;US;;;;;
Water Harvesters;;;;;;x;;;;;;;;x;;;India;;;;;;;;;;;;;http://www.waterharvesters.com/;IN;;;;;
Water Integrity Network;x;;;;;;;x;;;;x;;x;;;Berlin, Germany;x;x;;;;x;;;;;;;http://www.waterintegritynetwork.net/;DE;;;;;
Water Net;x;;;;;;x;x;;;;x;x;x;;;South Africa;x;;;;;;;;;;;South and East Africa;http://hikm.ihe.nl/waternet;ZA;;;;;
WATER PROJECT, THE;x;;;;;;;x;;x;;;;x;;;Concord;x;;;;;;;;;;;Kenya, Ruanda, Sera lion, Sudan, Uganda;http://thewaterproject.org/;;;;;;
Water Quality Association;x;;;;;;;x;;;;x;;x;;;US;;;;;x;;;;;;;;http://www.wqa.org/;US;;;;;
Water Resource Management Authority (WRMA);;x;;;;;;;;;;;;x;;;Kenya;x;;;;;;;;;;;Kenya;http://www.wrma.or.ke/index.php?option=com_frontpage&Itemid=19;KE;;;;;
Water Rhapsody;;;;x;;;;;;;;;;x;;;South Africa;x;;;;;;;;;;;;http://www.watersolutions.co.za/rainwater-harvesting/;ZA;;;;;
Water Service Boards (WSB);;x;;;;;;;;;;;;x;;;Kenya;x;;;;;;;;;;;Kenya;http://www.water.go.ke/index.php?option=com_content&view=article&id=116&Itemid=11;KE;;;;;
Water Services Regulatory Board (WASREB);;x;;;;;;;;;;;;x;;;Kenya;x;;;;;;;;;;;Kenya;http://www.wasreb.go.ke/index.php?option=com_frontpage&Itemid=1;KE;;;;;
Water Services Trust Fund;;x;;;;;;;;;;;;x;;;Kenya;x;;;;;;;;;;;Kenya;http://www.wstfkenya.org/;KE;;;;;
Water Supply and Sanitation Collaborative Council;x;;;;;;;;;;;x;;x;;;Switzerland;x;x;;;x;x;x;;;x;x;;http://www.wsscc.org/;CH;;;;;
Water Utilities Corporation (WUC);;x;;;;;;;;;;;;x;;;Botswana;x;;;;;;;;;;;Botswana;http://www.wuc.bw/;BW;;;;;
WaterCredit;x;;;;;;;;;;;;;x;;x;USA;;;;;;;;;;;;India, Bangladesh, Kenya and Uganda;http://watercredit.org/;US;;;;;
Watershed Management Group;;;x;;;;;;;;;;;x;;;US;;;;;;;;;;;x;;http://watershedmg.org/;US;;;;;
West and Central African Council for Agricultural Research and Development (CORAF/WECARD);x;;;;;;;x;;;;x;;;;;;x;;;;;;;;;;;;http://coraf.infosysplus.org/;;;;;;
Wetlands International;x;;;;;;;x;;x;;;;x;;;Netherlands;;;;;;;;;;;x;;http://www.wetlands.org/;NL;;;;;
World Overview of Conservation Approaches and Technologies (WOCAT);x;;;;;;;x;;;;x;;x;x;;Switzerland;;;;;;;;;;;x;;https://www.wocat.net/;CH;;;;;
Woman for Water Partnership ;x;;;;;;;;;;;x;;x;;;Netherlands;;;;;;;;;;;x;;http://www.womenforwater.org/openbaar/index.php;NL;;;;;
World Agro Forestry Centre;x;;;;;;;;;;;x;;x;x;;Kenya;x;x;;;;;x;;;;;Cameroon, India, Indonesia, Kenya and Peru;http://www.worldagroforestrycentre.org;KE;;;;;
World Business Council for Sustainable Development (WBCSD);x;;;;;;;;;;;x;;x;x;;Geneva;;;;;;;;;;;x;;http://www.wbcsd.org/home.aspx;CH;;;;;
World Meteorological Organization (WMO);;x;;;;;;;;;;;;x;;;Switzerland ;;;;;;;;;;;x;191 Member States and Territories;https://www.wmo.int/pages/index_en.html;CH;;;;;
World Vision ;x;;;;;;;x;;x;;;;x;x;;Washington, US;x;x;;;;x;x;;x;;;;http://www.worldvision.org/;US;;;;;
World Water Centre, The ;x;;;;;;x;;;;;x;x;x;;;US;;;;;;;;;;;;;http://www.worldwatercenter.org/index.html;US;;;;;
Zimbabwe Council of Churches;x;;;;;;;;;;;;;x;;;Zimbabwe;x;;;;;;;;;;;Zimbabwe;http://www.zcc.co.zw/departments/38-general-secretariat/57-rainwater-harvesting.html;ZW;;;;;
Zimbabwe National Water Authority (ZINWA), The;;x;;;;;;;;;;;;x;;;Zimbabwe;x;;;;;;;;;;;Zimbabwe;http://www.zinwa.co.zw/new/;ZW;;;;;
Centro Bartolomé de las Casas ;x;;;;;;;x;;;;;;x;;;Peru;;;;;;;x;;;;;Peru;www.cbc.org.pe/;PE;;;;;
Centro de Capacitación Jesus Obrero CCAIJO ;x;;;;;;;;;x;;;;x;x;;Peru;;;;;;;x;;;;;Peru;http://www.andahuaylillas.com/es/index.php?option=com_content&view=article&id=42&Itemid=64;PE;;;;;
Arariwa;x;;;;;;;x;;x;;;;x;x;;Peru;;;;;;;x;;;;;Peru;http://www.arariwa.org.pe/APwebsite.html;PE;;;;;
PACC Peru ;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AQUACO Water reclying;x;;;;;;;x;;;;;;;;;United Kingdom;;;x;;;;;;;;;England ;http://www.aquaco.co.uk/Rainwater/Rainwater-Harvesting-Institutions;GB;;;;;
Fondo Italo Peruano;;x;;;;;;;x;;;;;x;;;Lima;;;;;;;x;;;;;Peru;http://www.fondoitaloperuano.org/cooperacion-internacional/impulsan-la-%E2%80%9Csiembra-y-cosecha%E2%80%9D-de-agua-para-garantizar-la-seguridad-alimentaria-en-peru;PE;;;;;
Gobierno Regional del Cusco;;x;;;;;;;;x;;;;x;;;Cusco;;;;;;;x;;;;;Peru;http://www.transparencia.regioncusco.gob.pe/index.php?mn=X&ed_buscador=cosecha+de+agua+&btn_buscador=Buscar;PE;;;;;
Proyecto Especial IMA;;x;;;;;;;;x;;;;x;;;Cusco;;;;;;;x;;;;;Peru;http://www.ima.org.pe;PE;;;;;
Proyecto Espcial Plan Meriss;;x;;;;;;;;x;;;;x;;;Cusco;;;;;;;x;;;;;Peru;http://www.meriss.gob.pe/;PE;;;;;
DESCO;x;;;;;;;;;x;;;;x;;;Lima ;;;;;;;x;;;;;Peru;http://www.desco.org.pe/sites/default/files/publicaciones/files/agua.pdf;PE;;;;;
Instituto para una Alternativa Agraria IIA;x;;;;;;;;;x;;;;x;;;;;;;;;;;;;;;;;;;;;;
Gobierno Regional de Ayacucho;;x;;;;;;;;x;;;;x;;;Ayacucho;;;;;;;x;;;;;Peru;;PE;;;;;
Instituto Nacional de Investigación Agraria;x;;;;;;;;;x;;;;;x;;;;;;;;;;;;;;;;;;;;;
Junta de vecionos de agua Chile;x;;;;;;;;;x;;;;x;;;DEL LIBERTADOR GRAL. BERNARDO O´HIGGINS;;;;;;;x;;;;;Chile;http://www.territoriochile.cl/1516/article-84527.html;CL;;;;;
Acción por la Tierra Chile;x;;;;;;;;;x;;;;x;;;Santigo de Chile;;;;;;;x;;;;;Chile ;http://www.accionporlatierra.cl/;CL;;;;;
Gobierno Regional de Huancavelica;;x;;;;;;;;x;;;;;;;Huancavelica ;;;;;;;x;;;;;Peru;http://www.regionhuancavelica.gob.pe/region/;PE;;;;;
Ministerio del Medio Ambiente;;x;;;;;;;;x;;;;x;;;Lima ;;;;;;;x;;;;;Peru;http://www.minam.gob.pe/notas-de-prensa/el-yachachiq-del-agua/;PE;;;;;
Gobierno Regional de Apurimac ;;x;;;;;;;;x;;;;x;;;Apurimac;;;;;;;x;;;;;Peru;http://www.regionapurimac.gob.pe/inicio/;PE;;;;;
Ayuda en Acción ;x;;;;;;;;;x;;;;x;;;Cajamarca;;;;;;;x;;;;;Peru;http://www.ayudaenaccion.org/blog/decimos/noticias/2014/06/17/mas-agua-mas-cosecha-en-chalapampa/;PE;;;;;
Gobierno Regional de Ayacucho;;x;;;;;;;;x;;;;x;;;Ayacucho;;;;;;;x;;;;;Peru;www.regionayacucho.gob.pe/;PE;;;;;
Gobierno Regional de Puno ;;x;;;;;;;;x;;;;x;;;Puno ;;;;;;;x;;;;;Peru;http://www.regionpuno.gob.pe/web/;PE;;;;;
Gobierno Regional de Tacna;;x;;;;;;;;x;;;;x;;;Tacna ;;;;;;;x;;;;;Peru;www.regiontacna.gob.pe/;PE;;;;;
Gobierno Regional de La Libertad ;;x;;;;;;;;x;;;;x;;;La libertad;;;;;;;x;;;;;Peru;www.regionlalibertad.gob.pe/;PE;;;;;
GIZ - Bolivia;;x;;;;;;;x;;;;;x;;;La Paz;;;;;;;x;;;;;Bolivia;http://www.giz.de/en/worldwide/389.html;BO;;;;;
PROAGRO;x;;;;;;;;;x;;;;;x;;Calacoto;;;;;;;x;;;;;Bolivia;http://www.proagro-bolivia.org/;BO;;;;;
Comunidad Andina ;;x;;;;;;;;;;x;;x;;;Lima;;;;;;;x;;;;;Bolivia, Peru, Ecuador y Colombia;http://www.cambioclimaticoandes.info/index.htm;PE;;;;;
Ministerio de Desarrollo Rural y Tierras;;x;;;;;;;;x;;;;;x;;La Paz;;;;;;;x;;;;;Bolivia;http://www.agrobolivia.gob.bo/;BO;;;;;
Instituto Nacional de Innovación Agraria y Forestal;;x;;;;;;x;;;;;;;x;;La Paz;;;;;;;x;;;;;Bolivia;http://www.iniaf.gob.bo/index.php/es/2012-09-17-22-45-34/2012-10-17-21-32-27/2012-11-23-15-54-24;BO;;;;;
Grupo de Trabajo Cambio Climático y Justicia;;;;;;;x;;;;;x;;x;;;La Paz;;;;;;;x;;;;;Bolivia;http://web.ccjusticiabolivia.org;BO;;;;;
Gobierno Autónomo de Tarija;;x;;;;;;;;x;;;;x;;;Tarija ;;;;;;;x;;;;;Bolivia;http://www.tarija.bo/descargas/subalcaldia/cosechas_de_aguas.pdf;BO;;;;;
Ayni Asociación Civil;x;;;;;;;;;x;;;;;;;La Paz;;;;;;;x;;;;;Bolivia;http://www.ayni.org.bo/noticia/sistema-de-cosecha-de-agua-lluvias-en-nunumayani;BO;;;;;
Secretaria del Agua Ecuador;;x;;;;;;;;;;x;;x;;;Quito;;;;;;;x;;;;;Ecuador;http://www.agua.gob.ec/manabi-fiesta-de-la-cosecha-el-agua-y-la-semilla-atrajo-a-cientos-de-habitantes/;EC;;;;;
Condesan;x;;;;;;;;;;;x;;x;;;Lima;;;;;;;x;;;;;Peru ;http://www.condesan.org;PE;;;;;
Gobierno Autónomo de Chimborazo;;x;;;;;;;;x;;;;x;;;Chimborazo;;;;;;;x;;;;;Ecuador;http://www.chimborazo.gob.ec/chimborazo/index.php;EC;;;;;
Instituto de Desarrollo y Medio Ambiente;x;;;;;;;;;x;;;;x;;;Abancay;;;;;;;x;;;;;Peru;http://idmaperu.org/idma/portfolio/reportaje-de-entrega-de-certificados-del-sgp-apurimac-2013/;PE;;;;;
Unión Inter- América para la Conservación de la Naturaleza ;x;;;;;;;;;x;;x;;x;;;Switzerland;;;;;;;;;;;x;Ecuador, Panama, Guatemala;http://www.iucn.org/es/sobre/union/secretaria/oficinas/sudamerica/sur_trabajo/sur_agua/;CH;;;;;
Fondo Latino Americano para Arroz de Riego;;;;;;;x;;;;;x;;;x;;;;;;;;;x;;x;;;Latino América;http://www.flar.org/;;;;;;
Pacto Global Colombia;;;;;;;x;;;;;x;;x;;;Bogota;;;;;;;x;;;;;Colombia;http://www.pactoglobal-colombia.org/;CO;;;;;
